Dataset Summary:
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 

Training data:
    Label    Count
    _____    _____

    akiec     262 
    bcc       411 
    bkl       879 
    df         92 
    mel       890 
    nv       5364 
    vasc      114 

Validation data:
    Label    Count
    _____    _____

    akiec      65 
    bcc       103 
    bkl       220 
    df         23 
    mel       223 
    nv       1341 
    vasc       28 

Training CNN...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       9 |        2150 |       00:24:31 |      100.00% |              |       0.0770 |              |      1.0000e-04 |
|       9 |        2160 |       00:24:42 |       90.62% |       83.82% |       0.2054 |       0.5211 |      1.0000e-04 |
|       9 |        2190 |       00:24:59 |       93.75% |       82.53% |       0.2068 |       0.5526 |      1.0000e-04 |
|       9 |        2200 |       00:25:02 |       87.50% |              |       0.5261 |              |      1.0000e-04 |
|       9 |        2220 |       00:25:16 |       87.50% |       83.42% |       0.1762 |       0.5151 |      1.0000e-04 |
|       9 |        2250 |       00:25:33 |       93.75% |       82.68% |       0.1723 |       0.6084 |      1.0000e-04 |
|      10 |        2280 |       00:25:50 |       96.88% |       83.82% |       0.1684 |       0.5243 |      1.0000e-04 |
|      10 |        2300 |       00:25:57 |      100.00% |              |       0.0583 |              |      1.0000e-04 |
|      10 |        2310 |       00:26:07 |       96.88% |       83.72% |       0.0996 |       0.5086 |      1.0000e-04 |
|      10 |        2340 |       00:26:24 |       93.75% |       83.57% |       0.1813 |       0.5582 |      1.0000e-04 |
|      10 |        2350 |       00:26:27 |       93.75% |              |       0.1183 |              |      1.0000e-04 |
|      10 |        2370 |       00:26:41 |       96.88% |       81.78% |       0.0967 |       0.6070 |      1.0000e-04 |
|      10 |        2400 |       00:26:58 |       93.75% |       84.07% |       0.1172 |       0.5208 |      1.0000e-04 |
|      10 |        2430 |       00:27:15 |       93.75% |       83.67% |       0.0921 |       0.5489 |      1.0000e-04 |
|      10 |        2450 |       00:27:22 |      100.00% |              |       0.0645 |              |      1.0000e-04 |
|      10 |        2460 |       00:27:32 |       93.75% |       84.47% |       0.1927 |       0.5322 |      1.0000e-04 |
|      10 |        2490 |       00:27:49 |       93.75% |       84.42% |       0.2264 |       0.5949 |      1.0000e-04 |
|      10 |        2500 |       00:27:53 |       93.75% |              |       0.2606 |              |      1.0000e-04 |
|      11 |        2520 |       00:28:06 |       96.88% |       83.67% |       0.1188 |       0.6178 |      1.0000e-04 |
|      11 |        2550 |       00:28:23 |       96.88% |       84.12% |       0.1150 |       0.5623 |      1.0000e-04 |
|      11 |        2580 |       00:28:40 |       93.75% |       84.32% |       0.0846 |       0.6126 |      1.0000e-04 |
|      11 |        2600 |       00:28:47 |       93.75% |              |       0.0989 |              |      1.0000e-04 |
|      11 |        2610 |       00:28:57 |       93.75% |       83.37% |       0.1487 |       0.5709 |      1.0000e-04 |
|      11 |        2640 |       00:29:14 |      100.00% |       83.42% |       0.0563 |       0.5823 |      1.0000e-04 |
|      11 |        2650 |       00:29:18 |      100.00% |              |       0.0767 |              |      1.0000e-04 |
|      11 |        2670 |       00:29:31 |       93.75% |       84.32% |       0.1538 |       0.5590 |      1.0000e-04 |
|      11 |        2700 |       00:29:49 |       90.62% |       83.67% |       0.2221 |       0.5780 |      1.0000e-04 |
|      11 |        2730 |       00:30:06 |       93.75% |       84.82% |       0.1553 |       0.5481 |      1.0000e-04 |
|      11 |        2750 |       00:30:13 |       90.62% |              |       0.2114 |              |      1.0000e-04 |
|      12 |        2760 |       00:30:23 |       93.75% |       82.98% |       0.2258 |       0.6425 |      1.0000e-04 |
|      12 |        2790 |       00:30:40 |       96.88% |       83.13% |       0.0715 |       0.6384 |      1.0000e-04 |
|      12 |        2800 |       00:30:43 |       84.38% |              |       0.2945 |              |      1.0000e-04 |
|      12 |        2820 |       00:30:57 |       96.88% |       84.17% |       0.0523 |       0.6628 |      1.0000e-04 |
|      12 |        2850 |       00:31:14 |       93.75% |       83.72% |       0.2003 |       0.5948 |      1.0000e-04 |
|      12 |        2880 |       00:31:31 |       90.62% |       81.68% |       0.2562 |       0.6533 |      1.0000e-04 |
|      12 |        2900 |       00:31:38 |      100.00% |              |       0.0465 |              |      1.0000e-04 |
|      12 |        2910 |       00:31:49 |       90.62% |       83.52% |       0.2201 |       0.6514 |      1.0000e-04 |
|      12 |        2940 |       00:32:08 |       93.75% |       84.37% |       0.2941 |       0.6053 |      1.0000e-04 |
|      12 |        2950 |       00:32:12 |       93.75% |              |       0.1545 |              |      1.0000e-04 |
|      12 |        2970 |       00:32:28 |       96.88% |       83.87% |       0.1571 |       0.5875 |      1.0000e-04 |
|      12 |        3000 |       00:32:45 |       84.38% |       84.42% |       0.4450 |       0.5890 |      1.0000e-04 |
|      13 |        3030 |       00:33:03 |       93.75% |       84.52% |       0.1359 |       0.5763 |      1.0000e-04 |
|      13 |        3050 |       00:33:10 |      100.00% |              |       0.0690 |              |      1.0000e-04 |
|      13 |        3060 |       00:33:20 |       93.75% |       84.37% |       0.1961 |       0.5391 |      1.0000e-04 |
|      13 |        3090 |       00:33:37 |      100.00% |       84.02% |       0.0438 |       0.5831 |      1.0000e-04 |
|      13 |        3100 |       00:33:40 |       96.88% |              |       0.1253 |              |      1.0000e-04 |
|      13 |        3120 |       00:33:54 |       96.88% |       82.08% |       0.1020 |       0.6558 |      1.0000e-04 |
|      13 |        3150 |       00:34:13 |       90.62% |       83.42% |       0.1416 |       0.6476 |      1.0000e-04 |
|      13 |        3180 |       00:34:32 |       96.88% |       83.67% |       0.0895 |       0.6648 |      1.0000e-04 |
|      13 |        3200 |       00:34:39 |       96.88% |              |       0.0818 |              |      1.0000e-04 |
|      13 |        3210 |       00:34:50 |       90.62% |       83.42% |       0.2812 |       0.6119 |      1.0000e-04 |
|      13 |        3240 |       00:35:09 |       90.62% |       80.88% |       0.1621 |       0.6720 |      1.0000e-04 |
|      13 |        3250 |       00:35:13 |       84.38% |              |       0.4606 |              |      1.0000e-04 |
|      14 |        3270 |       00:35:30 |      100.00% |       84.37% |       0.0534 |       0.6606 |      1.0000e-04 |
|      14 |        3300 |       00:35:47 |      100.00% |       84.57% |       0.0750 |       0.6237 |      1.0000e-04 |
|      14 |        3330 |       00:36:05 |       90.62% |       84.62% |       0.2137 |       0.5874 |      1.0000e-04 |
|      14 |        3350 |       00:36:12 |       84.38% |              |       0.2359 |              |      1.0000e-04 |
|      14 |        3360 |       00:36:24 |       90.62% |       84.32% |       0.2043 |       0.6404 |      1.0000e-04 |
|      14 |        3390 |       00:36:44 |       96.88% |       83.57% |       0.1658 |       0.6715 |      1.0000e-04 |
|      14 |        3400 |       00:36:48 |      100.00% |              |       0.0414 |              |      1.0000e-04 |
|      14 |        3420 |       00:37:01 |       96.88% |       82.48% |       0.0880 |       0.6585 |      1.0000e-04 |
|      14 |        3450 |       00:37:18 |      100.00% |       85.72% |       0.0116 |       0.6469 |      1.0000e-04 |
|      14 |        3480 |       00:37:35 |       93.75% |       83.52% |       0.0826 |       0.6297 |      1.0000e-04 |
|      14 |        3500 |       00:37:42 |       96.88% |              |       0.0853 |              |      1.0000e-04 |
|      15 |        3510 |       00:37:52 |      100.00% |       82.63% |       0.0396 |       0.7857 |      1.0000e-04 |
|      15 |        3540 |       00:38:09 |       90.62% |       82.23% |       0.2117 |       0.7456 |      1.0000e-04 |
|      15 |        3550 |       00:38:12 |       93.75% |              |       0.0986 |              |      1.0000e-04 |
