Dataset Summary:
    Label    Count
    _____    _____

    akiec     327 
    bcc       514 
    bkl      1099 
    df        115 
    mel      1113 
    nv       6705 
    vasc      142 

Training data:
    Label    Count
    _____    _____

    akiec     262 
    bcc       411 
    bkl       879 
    df         92 
    mel       890 
    nv       5364 
    vasc      114 

Validation data:
    Label    Count
    _____    _____

    akiec      65 
    bcc       103 
    bkl       220 
    df         23 
    mel       223 
    nv       1341 
    vasc       28 

Training CNN with Attention Mechanism...
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       7 |        1650 |       00:44:53 |       78.12% |       79.98% |       0.5441 |       0.6290 |          0.0010 |
|       7 |        1680 |       00:45:19 |       75.00% |       80.23% |       0.6473 |       0.5866 |          0.0010 |
|       7 |        1700 |       00:45:29 |       90.62% |              |       0.3525 |              |          0.0010 |
|       7 |        1710 |       00:45:44 |       87.50% |       81.43% |       0.1889 |       0.5955 |          0.0010 |
|       7 |        1740 |       00:46:10 |       84.38% |       79.93% |       0.3486 |       0.6081 |          0.0010 |
|       7 |        1750 |       00:46:15 |       87.50% |              |       0.4099 |              |          0.0010 |
|       8 |        1770 |       00:46:38 |       87.50% |       80.58% |       0.3462 |       0.6092 |          0.0010 |
|       8 |        1800 |       00:47:19 |       90.62% |       81.28% |       0.3655 |       0.5804 |          0.0010 |
|       8 |        1830 |       00:47:47 |       87.50% |       78.93% |       0.3634 |       0.6052 |          0.0010 |
|       8 |        1850 |       00:47:59 |       87.50% |              |       0.3537 |              |          0.0010 |
|       8 |        1860 |       00:48:16 |       90.62% |       80.18% |       0.2897 |       0.6098 |          0.0010 |
|       8 |        1890 |       00:48:45 |       87.50% |       80.78% |       0.3791 |       0.6223 |          0.0010 |
|       8 |        1900 |       00:48:50 |       93.75% |              |       0.5003 |              |          0.0010 |
|       8 |        1920 |       00:49:15 |       93.75% |       80.53% |       0.1741 |       0.5959 |          0.0010 |
|       8 |        1950 |       00:49:49 |       84.38% |       80.83% |       0.3965 |       0.5702 |          0.0010 |
|       8 |        1980 |       00:50:20 |       84.38% |       80.18% |       0.2869 |       0.6124 |          0.0010 |
|       8 |        2000 |       00:50:31 |       78.12% |              |       0.6102 |              |          0.0010 |
|       9 |        2010 |       00:50:48 |       78.12% |       79.68% |       0.5326 |       0.6373 |          0.0010 |
|       9 |        2040 |       00:51:16 |       87.50% |       81.73% |       0.2858 |       0.5826 |          0.0010 |
|       9 |        2050 |       00:51:21 |       81.25% |              |       0.3985 |              |          0.0010 |
|       9 |        2070 |       00:51:44 |       87.50% |       81.28% |       0.2807 |       0.6053 |          0.0010 |
|       9 |        2100 |       00:52:14 |       96.88% |       80.98% |       0.1095 |       0.6059 |          0.0010 |
|       9 |        2130 |       00:52:44 |       90.62% |       81.48% |       0.2185 |       0.5889 |          0.0010 |
|       9 |        2150 |       00:52:55 |       90.62% |              |       0.3763 |              |          0.0010 |
|       9 |        2160 |       00:53:13 |       84.38% |       81.23% |       0.2462 |       0.6015 |          0.0010 |
|       9 |        2190 |       00:53:41 |       90.62% |       80.68% |       0.3121 |       0.6123 |          0.0010 |
|       9 |        2200 |       00:53:47 |       90.62% |              |       0.2268 |              |          0.0010 |
|       9 |        2220 |       00:54:09 |       71.88% |       80.68% |       0.7046 |       0.5969 |          0.0010 |
|       9 |        2250 |       00:54:38 |       87.50% |       80.68% |       0.3161 |       0.5546 |          0.0010 |
|      10 |        2280 |       00:55:06 |       71.88% |       80.28% |       0.8491 |       0.6042 |          0.0010 |
|      10 |        2300 |       00:55:17 |       71.88% |              |       0.7320 |              |          0.0010 |
|      10 |        2310 |       00:55:35 |       84.38% |       80.73% |       0.4216 |       0.5848 |          0.0010 |
|      10 |        2340 |       00:56:04 |       78.12% |       81.48% |       0.5660 |       0.5886 |          0.0010 |
|      10 |        2350 |       00:56:09 |       87.50% |              |       0.2782 |              |          0.0010 |
|      10 |        2370 |       00:56:32 |      100.00% |       81.78% |       0.1116 |       0.5798 |          0.0010 |
|      10 |        2400 |       00:57:01 |       93.75% |       81.73% |       0.1443 |       0.5694 |          0.0010 |
|      10 |        2430 |       00:57:29 |       87.50% |       81.63% |       0.3020 |       0.5645 |          0.0010 |
|      10 |        2450 |       00:57:40 |       93.75% |              |       0.2776 |              |          0.0010 |
|      10 |        2460 |       00:57:57 |       78.12% |       81.48% |       0.4021 |       0.5768 |          0.0010 |
|      10 |        2490 |       00:58:25 |       93.75% |       81.33% |       0.2251 |       0.6033 |          0.0010 |
|      10 |        2500 |       00:58:31 |       87.50% |              |       0.3592 |              |          0.0010 |
|      11 |        2520 |       00:58:54 |       87.50% |       81.68% |       0.2808 |       0.5985 |          0.0005 |
|      11 |        2550 |       00:59:22 |       90.62% |       82.28% |       0.2139 |       0.5546 |          0.0005 |
|      11 |        2580 |       00:59:49 |       90.62% |       82.18% |       0.2727 |       0.5646 |          0.0005 |
|      11 |        2600 |       00:59:59 |       78.12% |              |       0.4397 |              |          0.0005 |
|      11 |        2610 |       01:00:17 |       87.50% |       81.53% |       0.3364 |       0.5943 |          0.0005 |
|      11 |        2640 |       01:00:44 |       93.75% |       81.53% |       0.1491 |       0.5898 |          0.0005 |
|      11 |        2650 |       01:00:50 |       81.25% |              |       0.4466 |              |          0.0005 |
|      11 |        2670 |       01:01:13 |       87.50% |       81.53% |       0.3303 |       0.6105 |          0.0005 |
|      11 |        2700 |       01:01:42 |       96.88% |       82.18% |       0.2097 |       0.5589 |          0.0005 |
|      11 |        2730 |       01:02:10 |       87.50% |       82.33% |       0.2232 |       0.5823 |          0.0005 |
|      11 |        2750 |       01:02:21 |       87.50% |              |       0.1970 |              |          0.0005 |
|      12 |        2760 |       01:02:38 |       93.75% |       82.63% |       0.1650 |       0.5667 |          0.0005 |
|      12 |        2790 |       01:03:07 |       93.75% |       82.48% |       0.1765 |       0.5829 |          0.0005 |
|      12 |        2800 |       01:03:12 |       93.75% |              |       0.1628 |              |          0.0005 |
|      12 |        2820 |       01:03:35 |       81.25% |       81.98% |       0.5856 |       0.6227 |          0.0005 |
|      12 |        2850 |       01:04:04 |       87.50% |       82.53% |       0.3436 |       0.5979 |          0.0005 |
|      12 |        2880 |       01:04:33 |       93.75% |       82.58% |       0.2710 |       0.5879 |          0.0005 |
|      12 |        2900 |       01:04:44 |       81.25% |              |       0.4914 |              |          0.0005 |
